SID,DATE,DESCRIPTION,DETAILS
SC00005810,07/14/2015,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 240 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 240 DAYS,LOSS OF VISITATION PRIVILEGES FOR 240 DAYS"
SC00005810,07/14/2015,POSSESSION OF A NEGOTIABLE INSTRUMENT,"LOSS OF CANTEEN PRIVILEGES FOR 225 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 225 DAYS,LOSS OF VISITATION PRIVILEGES FOR 9 DAYS"
SC00005810,07/14/2015,POSSESSION OF CONTRABAND,"LOSS OF CANTEEN PRIVILEGES FOR 60 DAYS,DISC. DETENTION FOR 30 DAYS"
SC00005810,02/03/2015,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 240 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 240 DAYS,LOSS OF VISITATION PRIVILEGES FOR 240 DAYS"
SC00005810,10/16/2014,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 326 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 326 DAYS,LOSS OF VISITATION PRIVILEGES FOR 326 DAYS"
SC00005810,03/27/2014,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 360 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 360 DAYS"
SC00005810,08/29/2012,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 720 DAYS,DISC. DETENTION FOR 360 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 720 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 1406 DAYS,LOSS OF VISITATION PRIVILEGES FOR 720 DAYS"
SC00005810,04/07/2010,REFUSING OR FAILING OBEY ORDERS,"LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC00005810,02/25/2009,GAMBLING AND LOAN SHARKING,"LOSS OF CANTEEN PRIVILEGES FOR 7 DAYS,DISC. DETENTION FOR 53 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 240 DAYS,LOSS OF VISITATION PRIVILEGES FOR 30 DAYS"
SC01937315,01/29/2021,POSSESSION OF A NEGOTIABLE INSTRUMENT,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01937315,01/29/2021,STG AFFILIATION,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01937315,01/27/2021,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01937315,01/27/2021,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01937315,07/06/2020,STG AFFILIATION,"LOSS OF CANTEEN PRIVILEGES FOR 201 DAYS,DISC. DETENTION FOR 21 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 201 DAYS,LOSS OF VISITATION PRIVILEGES FOR 201 DAYS"
SC01937315,07/06/2020,STRIKE I/M W/WO WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 201 DAYS,DISC. DETENTION FOR 21 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 201 DAYS,LOSS OF VISITATION PRIVILEGES FOR 201 DAYS"
SC01937315,07/06/2020,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 190 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 190 DAYS,LOSS OF VISITATION PRIVILEGES FOR 190 DAYS"
SC01937315,07/06/2020,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 190 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 190 DAYS,LOSS OF VISITATION PRIVILEGES FOR 190 DAYS"
SC01937315,03/25/2020,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 210 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 210 DAYS,LOSS OF VISITATION PRIVILEGES FOR 210 DAYS"
SC01937315,06/16/2019,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 225 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 225 DAYS,LOSS OF VISITATION PRIVILEGES FOR 225 DAYS"
SC01937315,04/29/2019,POSSESSION OF A WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 190 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 190 DAYS,LOSS OF VISITATION PRIVILEGES FOR 190 DAYS"
SC01937315,04/29/2019,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 210 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 210 DAYS,LOSS OF VISITATION PRIVILEGES FOR 210 DAYS"
SC01937315,12/18/2018,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 180 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 180 DAYS,LOSS OF VISITATION PRIVILEGES FOR 180 DAYS"
SC01937315,09/17/2018,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 110 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 110 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 110 DAYS"
SC02412383,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01603975,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01497341,07/03/2020,STRIKING AN EMPLOYEE WITH/WITHOUT WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01497341,07/03/2020,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 150 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS"
SC01284995,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01778028,01/17/2023,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 135 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 135 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 135 DAYS"
SC01778028,10/17/2020,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF GOOD TIME: 24 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 225 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 225 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 225 DAYS"
SC01778028,10/03/2020,"DAMAGE,DESTROY,PROP.VALUE AT $100./MORE","LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01778028,07/22/2020,THROWING/EXPOSURE OF ANY SUBSTANCE,"LOSS OF GOOD TIME: 9 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 135 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 135 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 135 DAYS"
SC01778028,07/15/2020,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF GOOD TIME: 12 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 165 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 165 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 165 DAYS"
SC01778028,06/01/2020,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF GOOD TIME: 6 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 165 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 165 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 165 DAYS"
SC01778028,02/21/2020,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF GOOD TIME: 9 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 135 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 135 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 135 DAYS"
SC01778028,11/16/2019,THREATENING TO INFLICT HARM ON EMPLOYEE,"LOSS OF GOOD TIME: 6 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 60 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 60 DAYS"
SC01778028,11/05/2019,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF GOOD TIME: 6 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 60 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 60 DAYS"
SC01778028,11/05/2019,POSSESSION OF CONTRABAND,"LOSS OF GOOD TIME: 3 DAYS,LOSS OF GOOD TIME: 3 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,LOSS OF VISITATION PRIVILEGES FOR 30 DAYS"
SC01778028,08/12/2019,"DAMAGE,DESTROY,PROP.VALUE AT $100./MORE","LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01778028,01/04/2019,"DAMAGE,DESTROY,PROP.VALUE AT $100./MORE","LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01778028,12/22/2018,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01778028,09/18/2018,THREATENING TO INFLICT HARM ON EMPLOYEE,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS"
SC01778028,09/17/2018,STRIKING AN EMPLOYEE WITH/WITHOUT WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01778028,09/12/2018,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS"
SC01778028,08/15/2018,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01778028,07/26/2018,REFUSING OR FAILING OBEY ORDERS,"LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS"
SC01778028,07/26/2018,STRIKING AN EMPLOYEE WITH/WITHOUT WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 105 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 105 DAYS"
SC01778028,07/26/2018,STRIKING AN EMPLOYEE WITH/WITHOUT WEAPON,
SC01778028,07/26/2018,STRIKING AN EMPLOYEE WITH/WITHOUT WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS"
SC01778028,06/06/2018,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01778028,06/06/2018,INCITING/CREATING A DISTURBANCE,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01778028,06/06/2018,"A & B OF AN EMP, ETC W/INT KILL/INJURE","LOSS OF GOOD TIME: 3 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 150 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS"
SC01778028,06/05/2018,THROWING/EXPOSURE OF ANY SUBSTANCE,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01778028,06/05/2018,THREATENING TO INFLICT HARM ON EMPLOYEE,"LOSS OF GOOD TIME: 3 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01778028,05/16/2018,INCITING/CREATING A DISTURBANCE,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01778028,05/11/2018,"DAMAGE,DESTROY,PROP.VALUE AT $100./MORE","LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS,LOSS OF VISITATION PRIVILEGES FOR 30 DAYS"
SC01778028,05/11/2018,"DAMAGE,DESTROY,PROP.VALUE AT $100./MORE","LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS,LOSS OF VISITATION PRIVILEGES FOR 30 DAYS"
SC01778028,01/31/2018,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 1 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01778028,12/09/2017,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 1 DAYS,DISC. DETENTION FOR 7 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 37 DAYS,LOSS OF VISITATION PRIVILEGES FOR 97 DAYS"
SC01316708,11/09/2022,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF GOOD TIME: 9 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS"
SC01316708,05/18/2022,THREATENING TO INFLICT HARM ON EMPLOYEE,"LOSS OF GOOD TIME: 6 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 60 DAYS,LOSS OF VISITATION PRIVILEGES FOR 60 DAYS"
SC01526983,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC00422309,04/07/2023,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS
SC00422309,08/29/2019,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF TELEPHONE PRIVILEGES FOR 180 DAYS,LOSS OF VISITATION PRIVILEGES FOR 180 DAYS"
SC00422309,01/27/2019,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 140 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 140 DAYS,LOSS OF VISITATION PRIVILEGES FOR 140 DAYS"
SC00422309,06/11/2018,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 60 DAYS,LOSS OF VISITATION PRIVILEGES FOR 60 DAYS"
SC00422309,02/15/2018,POSSESSION OF A NEGOTIABLE INSTRUMENT,"LOSS OF CANTEEN PRIVILEGES FOR 65 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 65 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 65 DAYS"
SC00422309,11/10/2011,I/M UNDER INFLUENCE/POSS ALCOHOL OR BUCK,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01944161,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01443782,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC02302874,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01986925,04/18/2023,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS"
SC01986925,11/16/2021,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 113 DAYS,DISC. DETENTION FOR 23 DAYS,LOSS OF TABLET ENTERTAINMENT PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS"
SC01986925,06/29/2021,SEXUAL MISCONDUCT,"LOSS OF CANTEEN PRIVILEGES FOR 60 DAYS,DISC. DETENTION FOR 15 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 60 DAYS"
SC01986925,12/07/2019,EVADING A SECURITY DEVICE,"LOSS OF CANTEEN PRIVILEGES FOR 32 DAYS,DISC. DETENTION FOR 19 DAYS"
SC01986925,07/01/2019,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 125 DAYS,DISC. DETENTION FOR 35 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 125 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS"
SC00587848,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01752672,No Record
SC02064344,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01071262,03/23/2021,POSSESSION OF A WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01071262,03/23/2021,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 180 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF VISITATION PRIVILEGES FOR 180 DAYS"
SC01071262,05/05/2020,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 15 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 75 DAYS,LOSS OF VISITATION PRIVILEGES FOR 75 DAYS"
SC01071262,12/07/2017,SMUGGLING/CONSPIRACY SMUGGLE CONTRABAND,"LOSS OF CANTEEN PRIVILEGES FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 60 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 60 DAYS"
SC01071262,12/07/2017,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 210 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 210 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 210 DAYS"
SC01071262,10/23/2017,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,DISC. DETENTION FOR 60 DAYS,DISC. DETENTION FOR 60 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 150 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 150 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 150 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS"
SC01071262,10/14/2017,EXHIBITIONISM AND PUBLIC MASTURBATION,
